Respondent,Y,EAR,MAR,Circularity,MOE,EAR_N,MAR_N,Circularity_N,MOE_N
1,0,0.32,0.8059999999999999,0.46799999999999997,2.5180000000000002,-1.1172742322287508,-0.7193209219325517,-0.4242389665571462,1.0069431648401344
1,0,0.36200000000000004,0.875,0.516,2.421,0.8111717028510094,1.1419219635679156,1.1421818330384639,-0.01403405107791439
1,0,0.35100000000000003,0.8170000000000001,0.45899999999999996,2.3280000000000003,0.30610252937773885,-0.4226010416353728,-0.7179428664813231,-0.9929091137622199
1,0,0.32899999999999996,0.867,0.488,2.64,-0.7040358175688047,0.9261256869881512,0.22843636660769134,2.2910588384690134
1,0,0.21899999999999997,0.8490000000000001,0.36200000000000004,3.873,-5.754727552301505,0.4405840646836845,-3.8834182323307798,15.269047572767454
1,0,0.314,0.8390000000000001,0.45399999999999996,2.675,-1.3927665086687167,0.1708387189589791,-0.8811116997725326,2.659452679264181
1,0,0.33299999999999996,0.831,0.49200000000000005,2.492,-0.5203742999421609,-0.04495755762078823,0.35897143324066066,0.7332791688208621
1,0,0.35100000000000003,0.789,0.45899999999999996,2.245,0.30610252937773885,-1.1778880096645479,-0.7179428664813231,-1.866528793362198
1,0,0.314,0.8220000000000001,0.45899999999999996,2.617,-1.3927665086687167,-0.2877283687730201,-0.7179428664813231,2.048971457375043
1,0,0.337,0.818,0.467,2.426,-0.33671278231551455,-0.39562650706290525,-0.4568727332153863,0.03859364046425639
1,0,0.324,0.795,0.429,2.4530000000000003,-0.933612714602107,-1.0160408022297247,-1.6969558662285777,0.32278317479196084
1,0,0.324,0.774,0.48,2.386,-0.933612714602107,-1.5825060282516061,-0.03263376665824369,-0.3824278918730818
1,0,0.33299999999999996,0.848,0.45799999999999996,2.546,-0.5203742999421609,0.413609530111211,-0.750576633139565,1.3016582374762664
1,0,0.297,0.79,0.414,2.656,-2.173327958581953,-1.1509134750920775,-2.186462366102206,2.459467451403949
1,0,0.324,0.809,0.47600000000000003,2.494,-0.933612714602107,-0.6383973182151371,-0.1631688332912094,0.7543302454377313
1,0,0.33299999999999996,0.799,0.49200000000000005,2.398,-0.5203742999421609,-0.9081426639398426,0.35897143324066066,-0.2561214321718804
1,0,0.34700000000000003,0.7929999999999999,0.488,2.283,0.12244101175109504,-1.0699898713746687,0.22843636660769134,-1.4665583376417288
1,0,0.33299999999999996,0.809,0.498,2.427,-0.5203742999421609,-0.6383973182151371,0.5547740331901101,0.049119178772688676
1,0,0.324,0.7929999999999999,0.429,2.444,-0.933612714602107,-1.0699898713746687,-1.6969558662285777,0.22805333001605624
1,0,0.35200000000000004,0.78,0.456,2.2159999999999997,0.3520179087843998,-1.4206588208167827,-0.815844166456047,-2.1717694043067715
